Data,State,Hail Size,Population Affected,
6/25/14,Alabama,"1.0"" Hail",0,
6/26/14,Alabama,"1.0"" Hail",0,
6/27/14,Alabama,"1.0"" Hail",0,
6/28/14,Alabama,"1.0"" Hail",31,
6/29/14,Alabama,"1.0"" Hail",0,
6/30/14,Alabama,"1.0"" Hail",409,
7/1/14,Alabama,"1.0"" Hail",0,
7/2/14,Alabama,"1.0"" Hail",116,
7/3/14,Alabama,"1.0"" Hail",0,
7/4/14,Alabama,"1.0"" Hail",0,
7/5/14,Alabama,"1.0"" Hail",0,
7/6/14,Alabama,"1.0"" Hail",0,
7/7/14,Alabama,"1.0"" Hail",0,
7/8/14,Alabama,"1.0"" Hail",0,
7/9/14,Alabama,"1.0"" Hail",0,
7/10/14,Alabama,"1.0"" Hail",0,
7/11/14,Alabama,"1.0"" Hail",0,
7/12/14,Alabama,"1.0"" Hail",0,
7/13/14,Alabama,"1.0"" Hail",0,
7/14/14,Alabama,"1.0"" Hail",0,
7/15/14,Alabama,"1.0"" Hail",0,
7/16/14,Alabama,"1.0"" Hail",0,
7/17/14,Alabama,"1.0"" Hail",0,
7/18/14,Alabama,"1.0"" Hail",0,
7/19/14,Alabama,"1.0"" Hail",0,
7/20/14,Alabama,"1.0"" Hail",0,
7/21/14,Alabama,"1.0"" Hail",0,
7/22/14,Alabama,"1.0"" Hail",0,
7/23/14,Alabama,"1.0"" Hail",0,
7/24/14,Alabama,"1.0"" Hail",0,
7/25/14,Alabama,"1.0"" Hail",0,
7/26/14,Alabama,"1.0"" Hail",0,
7/27/14,Alabama,"1.0"" Hail",0,
7/28/14,Alabama,"1.0"" Hail",0,
7/29/14,Alabama,"1.0"" Hail",0,
7/30/14,Alabama,"1.0"" Hail",0,
6/25/14,Alabama,"1.5"" Hail",0,
6/26/14,Alabama,"1.5"" Hail",0,
6/27/14,Alabama,"1.5"" Hail",0,
6/28/14,Alabama,"1.5"" Hail",0,
6/29/14,Alabama,"1.5"" Hail",0,
6/30/14,Alabama,"1.5"" Hail",0,
7/1/14,Alabama,"1.5"" Hail",0,
7/2/14,Alabama,"1.5"" Hail",0,
7/3/14,Alabama,"1.5"" Hail",0,
7/4/14,Alabama,"1.5"" Hail",0,
7/5/14,Alabama,"1.5"" Hail",0,
7/6/14,Alabama,"1.5"" Hail",0,
7/7/14,Alabama,"1.5"" Hail",0,
7/8/14,Alabama,"1.5"" Hail",0,
7/9/14,Alabama,"1.5"" Hail",0,
7/10/14,Alabama,"1.5"" Hail",0,
7/11/14,Alabama,"1.5"" Hail",0,
7/12/14,Alabama,"1.5"" Hail",0,
7/13/14,Alabama,"1.5"" Hail",0,
7/14/14,Alabama,"1.5"" Hail",0,
7/15/14,Alabama,"1.5"" Hail",0,
7/16/14,Alabama,"1.5"" Hail",0,
7/17/14,Alabama,"1.5"" Hail",0,
7/18/14,Alabama,"1.5"" Hail",0,
7/19/14,Alabama,"1.5"" Hail",0,
7/20/14,Alabama,"1.5"" Hail",0,
7/21/14,Alabama,"1.5"" Hail",0,
7/22/14,Alabama,"1.5"" Hail",0,
7/23/14,Alabama,"1.5"" Hail",0,
7/24/14,Alabama,"1.5"" Hail",0,
7/25/14,Alabama,"1.5"" Hail",0,
7/26/14,Alabama,"1.5"" Hail",0,
7/27/14,Alabama,"1.5"" Hail",0,
7/28/14,Alabama,"1.5"" Hail",0,
7/29/14,Alabama,"1.5"" Hail",0,
7/30/14,Alabama,"1.5"" Hail",0,
6/25/14,Alabama,"2.0"" Hail",0,
6/26/14,Alabama,"2.0"" Hail",0,
6/27/14,Alabama,"2.0"" Hail",0,
6/28/14,Alabama,"2.0"" Hail",0,
6/29/14,Alabama,"2.0"" Hail",0,
6/30/14,Alabama,"2.0"" Hail",0,
7/1/14,Alabama,"2.0"" Hail",0,
7/2/14,Alabama,"2.0"" Hail",0,
7/3/14,Alabama,"2.0"" Hail",0,
7/4/14,Alabama,"2.0"" Hail",0,
7/5/14,Alabama,"2.0"" Hail",0,
7/6/14,Alabama,"2.0"" Hail",0,
7/7/14,Alabama,"2.0"" Hail",0,
7/8/14,Alabama,"2.0"" Hail",0,
7/9/14,Alabama,"2.0"" Hail",0,
7/10/14,Alabama,"2.0"" Hail",0,
7/11/14,Alabama,"2.0"" Hail",0,
7/12/14,Alabama,"2.0"" Hail",0,
7/13/14,Alabama,"2.0"" Hail",0,
7/14/14,Alabama,"2.0"" Hail",0,
7/15/14,Alabama,"2.0"" Hail",0,
7/16/14,Alabama,"2.0"" Hail",0,
7/17/14,Alabama,"2.0"" Hail",0,
7/18/14,Alabama,"2.0"" Hail",0,
7/19/14,Alabama,"2.0"" Hail",0,
7/20/14,Alabama,"2.0"" Hail",0,
7/21/14,Alabama,"2.0"" Hail",0,
7/22/14,Alabama,"2.0"" Hail",0,
7/23/14,Alabama,"2.0"" Hail",0,
7/24/14,Alabama,"2.0"" Hail",0,
7/25/14,Alabama,"2.0"" Hail",0,
7/26/14,Alabama,"2.0"" Hail",0,
7/27/14,Alabama,"2.0"" Hail",0,
7/28/14,Alabama,"2.0"" Hail",0,
7/29/14,Alabama,"2.0"" Hail",0,
7/30/14,Alabama,"2.0"" Hail",0,
6/25/14,Alabama,"2.5"" Hail",0,
6/26/14,Alabama,"2.5"" Hail",0,
6/27/14,Alabama,"2.5"" Hail",0,
6/28/14,Alabama,"2.5"" Hail",0,
6/29/14,Alabama,"2.5"" Hail",0,
6/30/14,Alabama,"2.5"" Hail",0,
7/1/14,Alabama,"2.5"" Hail",0,
7/2/14,Alabama,"2.5"" Hail",0,
7/3/14,Alabama,"2.5"" Hail",0,
7/4/14,Alabama,"2.5"" Hail",0,
7/5/14,Alabama,"2.5"" Hail",0,
7/6/14,Alabama,"2.5"" Hail",0,
7/7/14,Alabama,"2.5"" Hail",0,
7/8/14,Alabama,"2.5"" Hail",0,
7/9/14,Alabama,"2.5"" Hail",0,
7/10/14,Alabama,"2.5"" Hail",0,
7/11/14,Alabama,"2.5"" Hail",0,
7/12/14,Alabama,"2.5"" Hail",0,
7/13/14,Alabama,"2.5"" Hail",0,
7/14/14,Alabama,"2.5"" Hail",0,
7/15/14,Alabama,"2.5"" Hail",0,
7/16/14,Alabama,"2.5"" Hail",0,
7/17/14,Alabama,"2.5"" Hail",0,
7/18/14,Alabama,"2.5"" Hail",0,
7/19/14,Alabama,"2.5"" Hail",0,
7/20/14,Alabama,"2.5"" Hail",0,
7/21/14,Alabama,"2.5"" Hail",0,
7/22/14,Alabama,"2.5"" Hail",0,
7/23/14,Alabama,"2.5"" Hail",0,
7/24/14,Alabama,"2.5"" Hail",0,
7/25/14,Alabama,"2.5"" Hail",0,
7/26/14,Alabama,"2.5"" Hail",0,
7/27/14,Alabama,"2.5"" Hail",0,
7/28/14,Alabama,"2.5"" Hail",0,
7/29/14,Alabama,"2.5"" Hail",0,
7/30/14,Alabama,"2.5"" Hail",0,
6/25/14,Alabama,"3.0"" Hail",0,
6/26/14,Alabama,"3.0"" Hail",0,
6/27/14,Alabama,"3.0"" Hail",0,
6/28/14,Alabama,"3.0"" Hail",0,
6/29/14,Alabama,"3.0"" Hail",0,
6/30/14,Alabama,"3.0"" Hail",0,
7/1/14,Alabama,"3.0"" Hail",0,
7/2/14,Alabama,"3.0"" Hail",0,
7/3/14,Alabama,"3.0"" Hail",0,
7/4/14,Alabama,"3.0"" Hail",0,
7/5/14,Alabama,"3.0"" Hail",0,
7/6/14,Alabama,"3.0"" Hail",0,
7/7/14,Alabama,"3.0"" Hail",0,
7/8/14,Alabama,"3.0"" Hail",0,
7/9/14,Alabama,"3.0"" Hail",0,
7/10/14,Alabama,"3.0"" Hail",0,
7/11/14,Alabama,"3.0"" Hail",0,
7/12/14,Alabama,"3.0"" Hail",0,
7/13/14,Alabama,"3.0"" Hail",0,
7/14/14,Alabama,"3.0"" Hail",0,
7/15/14,Alabama,"3.0"" Hail",0,
7/16/14,Alabama,"3.0"" Hail",0,
7/17/14,Alabama,"3.0"" Hail",0,
7/18/14,Alabama,"3.0"" Hail",0,
7/19/14,Alabama,"3.0"" Hail",0,
7/20/14,Alabama,"3.0"" Hail",0,
7/21/14,Alabama,"3.0"" Hail",0,
7/22/14,Alabama,"3.0"" Hail",0,
7/23/14,Alabama,"3.0"" Hail",0,
7/24/14,Alabama,"3.0"" Hail",0,
7/25/14,Alabama,"3.0"" Hail",0,
7/26/14,Alabama,"3.0"" Hail",0,
7/27/14,Alabama,"3.0"" Hail",0,
7/28/14,Alabama,"3.0"" Hail",0,
7/29/14,Alabama,"3.0"" Hail",0,
7/30/14,Alabama,"3.0"" Hail",0,
6/25/14,Alabama,"3.5"" Hail",0,
6/26/14,Alabama,"3.5"" Hail",0,
6/27/14,Alabama,"3.5"" Hail",0,
6/28/14,Alabama,"3.5"" Hail",0,
6/29/14,Alabama,"3.5"" Hail",0,
6/30/14,Alabama,"3.5"" Hail",0,
7/1/14,Alabama,"3.5"" Hail",0,
7/2/14,Alabama,"3.5"" Hail",0,
7/3/14,Alabama,"3.5"" Hail",0,
7/4/14,Alabama,"3.5"" Hail",0,
7/5/14,Alabama,"3.5"" Hail",0,
7/6/14,Alabama,"3.5"" Hail",0,
7/7/14,Alabama,"3.5"" Hail",0,
7/8/14,Alabama,"3.5"" Hail",0,
7/9/14,Alabama,"3.5"" Hail",0,
7/10/14,Alabama,"3.5"" Hail",0,
7/11/14,Alabama,"3.5"" Hail",0,
7/12/14,Alabama,"3.5"" Hail",0,
7/13/14,Alabama,"3.5"" Hail",0,
7/14/14,Alabama,"3.5"" Hail",0,
7/15/14,Alabama,"3.5"" Hail",0,
7/16/14,Alabama,"3.5"" Hail",0,
7/17/14,Alabama,"3.5"" Hail",0,
7/18/14,Alabama,"3.5"" Hail",0,
7/19/14,Alabama,"3.5"" Hail",0,
7/20/14,Alabama,"3.5"" Hail",0,
7/21/14,Alabama,"3.5"" Hail",0,
7/22/14,Alabama,"3.5"" Hail",0,
7/23/14,Alabama,"3.5"" Hail",0,
7/24/14,Alabama,"3.5"" Hail",0,
7/25/14,Alabama,"3.5"" Hail",0,
7/26/14,Alabama,"3.5"" Hail",0,
7/27/14,Alabama,"3.5"" Hail",0,
7/28/14,Alabama,"3.5"" Hail",0,
7/29/14,Alabama,"3.5"" Hail",0,
7/30/14,Alabama,"3.5"" Hail",0,
6/25/14,Arkansas,"1.0"" Hail",19,
6/26/14,Arkansas,"1.0"" Hail",0,
6/27/14,Arkansas,"1.0"" Hail",0,
6/28/14,Arkansas,"1.0"" Hail",0,
6/29/14,Arkansas,"1.0"" Hail",153,
6/30/14,Arkansas,"1.0"" Hail",0,
7/1/14,Arkansas,"1.0"" Hail",105,
7/2/14,Arkansas,"1.0"" Hail",0,
7/3/14,Arkansas,"1.0"" Hail",0,
7/4/14,Arkansas,"1.0"" Hail",0,
7/5/14,Arkansas,"1.0"" Hail",0,
7/6/14,Arkansas,"1.0"" Hail",0,
7/7/14,Arkansas,"1.0"" Hail",0,
7/8/14,Arkansas,"1.0"" Hail",5110,
7/9/14,Arkansas,"1.0"" Hail",0,
7/10/14,Arkansas,"1.0"" Hail",10,
7/11/14,Arkansas,"1.0"" Hail",0,
7/12/14,Arkansas,"1.0"" Hail",0,
7/13/14,Arkansas,"1.0"" Hail",0,
7/14/14,Arkansas,"1.0"" Hail",5856,
7/15/14,Arkansas,"1.0"" Hail",0,
7/16/14,Arkansas,"1.0"" Hail",0,
7/17/14,Arkansas,"1.0"" Hail",0,
7/18/14,Arkansas,"1.0"" Hail",0,
7/19/14,Arkansas,"1.0"" Hail",0,
7/20/14,Arkansas,"1.0"" Hail",0,
7/21/14,Arkansas,"1.0"" Hail",0,
7/22/14,Arkansas,"1.0"" Hail",0,
7/23/14,Arkansas,"1.0"" Hail",33424,
7/24/14,Arkansas,"1.0"" Hail",0,
7/25/14,Arkansas,"1.0"" Hail",0,
7/26/14,Arkansas,"1.0"" Hail",0,
7/27/14,Arkansas,"1.0"" Hail",0,
7/28/14,Arkansas,"1.0"" Hail",0,
7/29/14,Arkansas,"1.0"" Hail",0,
7/30/14,Arkansas,"1.0"" Hail",0,
6/25/14,Arkansas,"1.5"" Hail",0,
6/26/14,Arkansas,"1.5"" Hail",0,
6/27/14,Arkansas,"1.5"" Hail",0,
6/28/14,Arkansas,"1.5"" Hail",0,
6/29/14,Arkansas,"1.5"" Hail",0,
6/30/14,Arkansas,"1.5"" Hail",0,
7/1/14,Arkansas,"1.5"" Hail",0,
7/2/14,Arkansas,"1.5"" Hail",0,
7/3/14,Arkansas,"1.5"" Hail",0,
7/4/14,Arkansas,"1.5"" Hail",0,
7/5/14,Arkansas,"1.5"" Hail",0,
7/6/14,Arkansas,"1.5"" Hail",0,
7/7/14,Arkansas,"1.5"" Hail",0,
7/8/14,Arkansas,"1.5"" Hail",889,
7/9/14,Arkansas,"1.5"" Hail",0,
7/10/14,Arkansas,"1.5"" Hail",0,
7/11/14,Arkansas,"1.5"" Hail",0,
7/12/14,Arkansas,"1.5"" Hail",0,
7/13/14,Arkansas,"1.5"" Hail",0,
7/14/14,Arkansas,"1.5"" Hail",0,
7/15/14,Arkansas,"1.5"" Hail",0,
7/16/14,Arkansas,"1.5"" Hail",0,
7/17/14,Arkansas,"1.5"" Hail",0,
7/18/14,Arkansas,"1.5"" Hail",0,
7/19/14,Arkansas,"1.5"" Hail",0,
7/20/14,Arkansas,"1.5"" Hail",0,
7/21/14,Arkansas,"1.5"" Hail",0,
7/22/14,Arkansas,"1.5"" Hail",0,
